t,ch1,ch1_marked
165.709,0.31185,8.08485639547385e-11
165.71,0.30929,9.770927816843411e-11
165.711,0.32208,1.6155693449704245e-10
165.712,0.31696,6.257509788110127e-11
165.713,0.31696,2.3811441707266567e-10
165.714,0.32463,6.009610170609747e-11
165.715,0.30929,3.2294150686951184e-10
165.716,0.31185,4.9729893814021153e-11
165.717,0.31696,1.483955597292308e-10
165.718,0.31952,7.220451320177901e-11
165.719,0.31441,6.065021401768789e-11
165.72,0.32208,4.971273045994984e-11
165.721,0.31185,3.0428572855845104e-11
165.722,0.31952,6.014380660168683e-11
165.723,0.31441,2.1643337122512207e-10
165.724,0.30674,6.488962145390076e-10
165.725,0.30418,6.270321484258545e-10
165.726,0.31696,8.51722095629448e-11
165.727,0.3323,7.56434526127947e-10
165.728,0.32208,7.250899880517636e-10
165.729,0.31696,4.3954861972395065e-10
165.73,0.31185,6.786484152421224e-10
165.731,0.30674,3.825870731333225e-10
165.732,0.29907,5.689212434489832e-10
165.733,0.30929,1.9737600442937264e-09
