t,ch1,ch1_marked,ch1_ai_marked
168.076,0.41921,0.0,7.635024303453974e-06
168.077,0.36042,0.0,3.4019933536910685e-06
168.078,0.38342,0.0,8.148880624503363e-06
168.079,0.40898,0.0,5.111351129016839e-07
168.08,0.39876,0.0,4.384786279842956e-06
168.081,0.37575,0.0,4.038828592456412e-06
168.082,0.40387,0.0,4.52629137726035e-06
168.083,0.38854,0.0,1.7389838831149973e-05
168.084,0.38854,0.0,4.500170689425431e-05
168.085,0.40387,0.0,1.1268159141764045e-05
168.086,0.40643,0.0,3.5647005915961927e-06
168.087,0.40898,0.0,7.82777703989268e-07
168.088,0.37064,0.0,4.6898000505279924e-07
168.089,0.39109,0.0,2.9911730052845087e-06
168.09,0.3962,0.0,5.003524279345584e-07
168.091,0.38854,0.0,4.5652984681510134e-07
168.092,0.38342,0.0,8.500768672092818e-06
168.093,0.39109,0.0,9.043012028087104e-07
168.094,0.39109,0.0,1.565277125337161e-05
168.095,0.39109,0.0,1.440192590962397e-05
168.096,0.38342,0.0,9.405098353454378e-06
168.097,0.40643,0.0,1.5791460100444965e-05
168.098,0.39876,0.0,0.0002376674674451
168.099,0.39876,0.0,0.0001964552066056
168.1,0.38854,0.0,0.0002074929652735
168.101,0.37831,0.0,0.0024675277527421
168.102,0.39876,0.0,0.0041854623705148
168.103,0.37575,0.0,2.679678800632246e-05
168.104,0.38342,0.0,2.094888623105362e-05
168.105,0.37831,0.0,6.93851980031468e-05
168.106,0.3962,0.0,2.7637475795927458e-05
168.107,0.39365,0.0,3.593867222662084e-05
168.108,0.38087,0.0,7.647561142221093e-05
168.109,0.38598,0.0,6.823612056905404e-05
168.11,0.39365,0.0,0.0001165736830444
168.111,0.39876,0.0,2.0852994566666894e-05
168.112,0.39365,0.0,1.234416413353756e-05
168.113,0.3732,0.0,2.6745678042061627e-05
168.114,0.39365,0.0,9.119622518483084e-06
168.115,0.3962,0.0,3.93799973608111e-06
168.116,0.38087,0.0,3.3944375900318846e-05
168.117,0.38087,0.0,1.4088501529840869e-06
168.118,0.37575,0.0,1.8323888070881367e-05
168.119,0.37575,0.0,7.531078153988346e-06
168.12,0.40387,0.0,4.743376109672681e-07
168.121,0.37064,0.0,3.04755121760536e-06
168.122,0.39876,0.0,2.916007133535459e-07
168.123,0.38854,0.0,7.750397799100028e-07
168.124,0.38854,0.0,1.1889557072208845e-06
168.125,0.38854,0.0,1.47934841265851e-07
